DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Router_Hw_Router_Hw_190402_221033,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,2242,13894,11198,2666,0,889,61,5699.973987,174.439995,4180.875891,0.000000,,9880.849878,,14.1343,561.4386,14.6958,14.7038,8.0789,0.0000,0.0000,0.0000,0.0000,13.6036,0.0000,1.1002,-0.76,0.79,0.03
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120712,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,4576,3354,1211,0,644,28,1682.072000,142.393998,1898.847950,0.000000,,3580.919950,,6.3238,378.6404,6.7024,6.7054,3.0286,0.0000,0.0000,0.0000,0.0000,6.0787,0.0000,0.6268,-0.77,0.79,0.02
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114629,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,852,2335,1905,423,0,311,28,935.409993,61.935998,663.263983,0.000000,,1598.673976,,2.4562,251.3507,2.7075,2.7090,1.4192,0.0000,0.0000,0.0000,0.0000,2.2255,0.0000,0.4834,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220056,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1030,872,848,14,0,307,27,464.421999,73.695999,21.951999,0.000000,,486.373999,,145.2957,53.6964,198.9921,0.1994,375.1421,0.0000,0.0000,0.0000,0.0000,-02,0.0000,0.1270,-0.07,0.79,0.73
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_103534,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,846,1953,1793,153,0,440,29,754.403996,99.175998,239.903994,0.000000,,994.307990,,890.4225,92.0351,982.4576,0.9832,748.3850,0.0000,0.0000,0.0000,0.0000,0.7891,0.0000,0.1941,-0.75,0.79,0.04
Router_Hw_Router_Hw_190402_221248,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1218,4147,3959,96,0,594,26,1761.354014,116.423997,150.527996,0.000000,,1911.882010,,597.1697,137.2574,734.4272,0.7358,1.3844,0.0000,0.0000,0.0000,0.0000,0.4950,0.0000,0.2408,-0.07,0.79,0.72
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115524,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1055,3553,2846,695,0,680,31,1298.401996,147.783997,1089.759971,0.000000,,2388.161968,,3.7358,323.8745,4.0597,4.0617,1.9897,0.0000,0.0000,0.0000,0.0000,3.5449,0.0000,0.5168,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121650,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1059,6316,4826,1479,0,751,31,2243.905989,157.779997,2319.071939,0.000000,,4562.977928,,7.6260,393.8796,8.0199,8.0237,3.8398,0.0000,0.0000,0.0000,0.0000,7.3655,0.0000,0.6583,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121739,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1126,6384,4892,1479,0,817,31,2263.113989,176.987997,2319.071939,0.000000,,4582.185928,,7.6346,397.6347,8.0322,8.0361,3.8621,0.0000,0.0000,0.0000,0.0000,7.3655,0.0000,0.6706,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120455,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1124,4340,3371,957,0,473,29,1643.263995,101.919998,1500.575961,0.000000,,3143.839955,,5.0412,337.3499,5.3785,5.3811,2.5719,0.0000,0.0000,0.0000,0.0000,4.8254,0.0000,0.5557,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122431,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,2382,2207,162,0,456,32,894.837994,102.801998,254.015993,0.000000,,1148.853988,,951.7462,104.4025,1.0561,1.0570,889.8798,0.0000,0.0000,0.0000,0.0000,0.8356,0.0000,0.2215,-0.74,0.79,0.05
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121643,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,992,6248,4760,1479,0,685,30,2224.697989,138.571997,2319.071939,0.000000,,4543.769929,,7.6175,390.1366,8.0076,8.0114,3.8174,0.0000,0.0000,0.0000,0.0000,7.3655,0.0000,0.6459,-0.62,0.79,0.17
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220335,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1106,21757,17437,4248,0,1044,59,8718.667965,224.517996,6660.863826,0.000000,,15379.531791,,22.3621,531.7234,22.8938,22.9064,11.8891,0.0000,0.0000,0.0000,0.0000,21.9031,0.0000,1.0033,-0.72,0.79,0.07
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114412,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,2353,2181,159,0,569,30,887.095994,137.297998,249.311993,0.000000,,1136.407988,,949.1939,105.6783,1.0549,1.0558,901.6616,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.2356,-0.75,0.79,0.04
Router_Hw_Router_Hw_190402_221715,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,2818,37435,29723,7592,0,1670,105,15135.021956,340.157992,11904.255689,0.000000,,27039.277644,,40.0730,1.2159,41.2888,41.3122,21.2092,0.0000,0.0000,0.0000,0.0000,39.0661,0.0000,2.2462,-0.76,0.79,0.03
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121102,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1057,4639,3412,1217,0,408,30,1776.837998,83.691998,1908.255950,0.000000,,3685.093948,,6.3420,376.1328,6.7181,6.7212,3.0747,0.0000,0.0000,0.0000,0.0000,6.1104,0.0000,0.6108,-0.78,0.79,0.01
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121327,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,925,5879,4397,1473,0,737,28,2092.691992,155.035997,2309.663940,0.000000,,4402.355931,,7.5753,377.7971,7.9531,7.9568,3.6943,0.0000,0.0000,0.0000,0.0000,7.3340,0.0000,0.6228,-0.63,0.79,0.16
Dedicated_PE_Hw_Dedicated_PE_Hw_190402_220031,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1030,9355,7897,1448,0,877,42,3620.217982,185.415996,2270.463941,0.000000,,5890.681923,,7.6992,240.8935,7.9401,7.9447,4.6325,0.0000,0.0000,0.0000,0.0000,7.4658,0.0000,0.4789,-0.73,0.79,0.06
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_114831,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,986,2635,2196,429,0,323,32,1041.837992,70.461999,672.671982,0.000000,,1714.509974,,2.4920,255.7432,2.7478,2.7493,1.5287,0.0000,0.0000,0.0000,0.0000,2.2571,0.0000,0.4922,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120024,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,4213,3251,951,0,646,29,1530.563997,142.001997,1491.167961,0.000000,,3021.731958,,5.0131,334.2956,5.3474,5.3499,2.5062,0.0000,0.0000,0.0000,0.0000,4.7932,0.0000,0.5567,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_121422,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,992,5947,4463,1473,0,803,28,2111.801992,174.341997,2309.663940,0.000000,,4421.465931,,7.5837,381.5918,7.9653,7.9690,3.7163,0.0000,0.0000,0.0000,0.0000,7.3340,0.0000,0.6350,-0.60,0.79,0.19
Router_Hw_Router_Hw_190402_220728,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1074,3312,3265,24,0,509,23,1488.718016,99.861997,37.631999,0.000000,,1526.350015,,242.6239,140.8241,383.4479,0.3845,1.0355,0.0000,0.0000,0.0000,0.0000,0.1238,0.0000,0.2607,-0.07,0.79,0.72
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122342,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,980,2217,2049,159,0,437,31,848.679994,98.881998,249.311993,0.000000,,1097.991988,,935.9760,99.3388,1.0353,1.0362,857.6930,0.0000,0.0000,0.0000,0.0000,0.8202,0.0000,0.2160,-0.75,0.79,0.04
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115453,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,988,3483,2778,695,0,612,31,1278.507996,128.183997,1089.759971,0.000000,,2368.267968,,3.7276,319.8780,4.0475,4.0495,1.9674,0.0000,0.0000,0.0000,0.0000,3.5449,0.0000,0.5045,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120718,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,923,4678,3453,1217,0,464,29,1731.561999,94.373998,1908.255950,0.000000,,3639.817949,,6.3292,368.5230,6.6977,6.7007,3.0710,0.0000,0.0000,0.0000,0.0000,6.1088,0.0000,0.5919,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_120244,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,4511,3545,957,0,525,31,1642.283994,105.643997,1500.575961,0.000000,,3142.859955,,5.0450,344.8468,5.3899,5.3925,2.6053,0.0000,0.0000,0.0000,0.0000,4.8249,0.0000,0.5676,-0.69,0.79,0.10
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_115600,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,988,3620,2916,695,0,614,29,1321.627995,122.303997,1089.759971,0.000000,,2411.387967,,3.7402,332.4283,4.0726,4.0746,1.9992,0.0000,0.0000,0.0000,0.0000,3.5452,0.0000,0.5294,-0.79,0.79,0.00
