DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_060517,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,919,3298,2695,594,0,439,37,1288.209991,93.295998,931.391976,0.000000,,2219.601967,,3.3625,279.6895,3.6422,3.6441,1.8889,0.0000,0.0000,0.0000,0.0000,3.1201,0.0000,0.5240,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_084059,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1059,7881,5990,1879,0,648,37,2891.391985,131.417997,2946.271923,0.000000,,5837.663908,,9.6964,429.2591,10.1257,10.1304,4.7572,0.0000,0.0000,0.0000,0.0000,9.4275,0.0000,0.7029,-0.65,0.79,0.14
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_230716,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,986,12706,10269,2428,0,1270,41,4794.061975,250.193994,3807.103900,0.000000,,8601.165876,,13.0031,489.1841,13.4923,13.4990,6.9349,0.0000,0.0000,0.0000,0.0000,12.5755,0.0000,0.9235,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_024603,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1187,7891,6403,1474,0,659,41,3096.211980,143.079997,2311.231940,0.000000,,5407.443919,,8.0103,388.9426,8.3992,8.4035,4.3517,0.0000,0.0000,0.0000,0.0000,7.6574,0.0000,0.7461,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_130402,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,3120,2819,290,0,678,33,1165.611995,152.389997,454.719988,0.000000,,1620.331983,,1.6206,118.8704,1.7395,1.7408,1.3284,0.0000,0.0000,0.0000,0.0000,1.4957,0.0000,0.2451,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_102845,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,980,13508,11107,2392,0,1462,52,5072.283983,304.093993,3750.851902,0.000000,,8823.135885,,12.6688,344.5284,13.0133,13.0201,6.9678,0.0000,0.0000,0.0000,0.0000,12.3316,0.0000,0.6885,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_183048,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1047,2082,1892,180,0,332,28,870.631995,78.007999,282.239993,0.000000,,1152.871987,,1.0276,86.1138,1.1137,1.1146,856.9802,0.0000,0.0000,0.0000,0.0000,0.9282,0.0000,0.1863,-0.69,0.79,0.10
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_195546,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,986,3528,2928,591,0,428,33,1377.487991,84.769998,926.687976,0.000000,,2304.175967,,3.3440,282.2117,3.6262,3.6283,2.0365,0.0000,0.0000,0.0000,0.0000,3.1065,0.0000,0.5218,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_235720,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,986,2834,2326,497,0,453,31,1112.593993,102.311998,779.295980,0.000000,,1891.889972,,2.8574,265.4565,3.1229,3.1245,1.6498,0.0000,0.0000,0.0000,0.0000,2.6174,0.0000,0.5071,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_122755,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,986,2495,2058,426,0,327,29,983.331993,65.365998,667.967983,0.000000,,1651.299975,,2.4717,259.5244,2.7312,2.7326,1.4527,0.0000,0.0000,0.0000,0.0000,2.2521,0.0000,0.4806,-0.78,0.79,0.01
